User,rating,Tanggal,ulasan
indah martiana,5,4 bulan lalu,"Ya ampun.. ya ampun
Tempatnya ini tuh di jalan raya Batu yang sering dilewati, tapi ga pernah nengok kesini. Deket banget sama Baloga.
Dari depan keliatan kecil padahl tempatnya luassss.
Kids friendly, family friendly, pokoknya yang bawa keluarga besar beserta bocil2nya wajib kesiniii.

- kolam renang, ada lebih dr 5 kolam renang, ga tau sih itu bebas dipake ato khusus kamar2 tertentu tapi so far kita pake ya gak papa sih. Kolam renang anaknya perlu dibersihin lebih sering yaaa

- resto, kita ga include breakfast tapi sempet beli buat makan di kamar dan enak! Harganya pun terjangkau, kita beli ayam 1 ekor harganya sama kek di resto kok.

- kamar, ada beberapa kamar tuh yg isinya s.d 10 orang (kasur bawah, tanpa dipan), menyenangkan sekaliiii, bisa tetep rame2 dan hemat.

- Tempat ini bisa buat outbound juga jadi ada jalan setapak di sawah, mainan outbound di sungai, sawah2, halaman luas buat games.. oke banget.
Tapiii.. kalo pas ada tim yg outbound, suaranya bisa sampe ke kamar apalagi yg deket sama playground.

Yang perlu diperhatikan ini dari kebersihan, kolam renang anak (yang depan sendiri) dan karena pohon2nya rimbun banget jadi ya ada kesan agak sedikiiitttt kurang terawat.
Sama pas dateng tuh kan agak capek ya, tapi harus nungguin di resepsionis sekitar 15 menitan krn nunggu masnya buat anter ke kamar.

Tapi secara umum, memuaskan dan recommended!!!!

Saran ya, supaya bagian depan dikasi signage yg lebih keliatan (kecuali emang mau agak nyempil krn udah over capacity)."
Nabila Azzahra Tiara Diska,4,2 bulan lalu,oke sekali untuk menginap dengan suasana alam. cuma memang perlu sedikir remind beberapa hal spt isi tisu atau lainnya. tapi suasananya memang di desa jadi kalau tidur ada gemericik air nya. kolamnya juga nuansa alam yang dingin dan semi2 lumut (spt di desa). untuk refresh pikiran boleh teman2 kesini👍 …
iman diar,5,Diedit 2 bulan lalu,"Lumayan utk tipis2 arum jeram nya, dpt 2x trip, nice next month coba lagi. Harga masuk saat weekend 60 rb per orang.sudah include bisa masuk kolam renang"
Deazhy Theozhy,1,3 minggu lalu,Dia klaim namanya tempatnya resto. Tp masih bersih warung pinggiran. Ini tempat kaya warung pinggir2 di tempat wisata yg rame dan kumuh. Meja kotor. Jauh dr dapur. Paling kerasa nyiksa customer klo pas hujan gini. Jln menuju meja makan jauh. HAMPIR SETIAP JOGLO TAK PUTERI PODO KABEH KOTOR. Sia2 kluar uang bnyk. Maju dikit mnding warung wareg. Harga menu tdk sesuai dg tempatnya. Gatau lg ini diambil suasana gk bisa. Makanannya gk bisa. Tempatnya/suasana tdk mendukung. Mnding nasi porakan trawas. Murah. Estetik. Klo pilih makan di nuansa hutan .
etlajeavee,5,4 bulan lalu,"Cocok banget buat gathering outbond bareng rekan kerja! Seru banget waktu games, bikin kompak satu tim🤩 Suasananya asri, seger, ngga panas, kalo sore semriwing anginnya, banyak pohon2 jadi ngga panas. Waktu itu kami outbound di tempat yg teduh juga. Ada panggung kecilnya, ada juga gamelan kecil, angklung kecil, topeng buat bocil2 main. Makanannya standard lah ya. Trs habis itu ada River Tubingnya yg sangat zeruwww 😍"
Eka Ardhita,5,7 bulan lalu,"Parah sih.

1. Lokasi strategis banget, di pinggir jalan utama. Kalau dari Baloga lurus aja.

2. Kamar homey banget. Nuansa jaman dulu, tapi rapih, bersih, wangi parah.

3. Kamar mandi oke. Bersih, air hangat nonstop. Kamar meski gada kipas angin atau AC, tapi full dingin.

4. Staff ramah semua. Masya allah. Gak sungkan menyapa tamu tiap ketemu atau papasan. Kereennn.

5. Ada kolam renang juga. Kids friendly.

6. Compliments lengkaaap. Air putih dikasi 4 botol meski free breakfast hanya untuk 2 orang. Soalnya kami book room standart 2 beds. Gini aja uda merasa istimewa, karena detail staff nya dalam menyambut tamu, luar biasa. Handuk pun ada 4 pcs.

Minusnya cuma 1, saat kami udah req early check in dan datang lebih telat satu jam, kamar belum ready. Jadi nunggu 15 menitan. Tapi terbayar sama mbak2 resepsionis yg ruamah pol. Jadi gak bosan kami nunggu.

Satu lagi, pak Satpam pas kami CO malah main HP dan abaikan kami saat keluar hotel. Padahal lokasi hotel ini setelah tikungan. Jadi kami agak kesulitan saat menyebrang. Mungkin lain kali bisa lebih sigap saat ada tamu yg keluar hotel baik hanya untuk main atau CO. Sebab pas kami datang juga disambut satpam dan dibantu untuk parkir. Karena untuk dapat arahan security 24 jam kan masuk di pelayanan hotel yg tamu dapatkan.

Terima kasih tamandolan, sudah berikan staycation yang berkesan bagi keluarga kami, utamanya anak-anak.

Sayang banget harus CO pagi-pagi, karena suami ada urusan kantor. Padahal masih betah rebahan di kamar 😄"
Tim Support,5,3 bulan lalu,"Ada lebih dari 5 kolam renang untuk anak, dewasa. Ada arena outbond luas, bisa river tubbing, susur sungai, ada penginapan, cocok untuk gathering sekolah, keluarga, perusahaan etc. Restoran makanan harga terjangkau, bisa pesan lewat WA, bayar tunai atau QRIS atau transfer. Pesanan diantar ke lokasi yang diinginkan, bisa di gazebo atau taman lokasi outbond. Bisa pilih paket untuk yang mau gathering. Disediakan guide dan petugas pendamping gathering"
Achmad Farid,4,7 bulan lalu,"Salah satu tempat wisata yang terjangkau dan asri yang ada di Kota Batu. Tersedia kolam renang yang bisa digunakan untuk anak-anal hingga dewasa.

Tak hanya itu, di sini juga tersedia penginapan seperti villa yang sangat bagus, bahkan ada yang memiliki private pool.

Mereka juga menyediakan berbagai macam menu makanan restoran seperti lalapan hingga seafood."
Cucu Isma,5,3 minggu lalu,Tempat wisata yang murah meriah. Dekat dari rumah. Ada juga outbound disini. Berenang sambil menikmati makanan yang tersedia di taman dolan. Jangan lupa nikmati ingkungnya ya. Ayam ingkungnya best banget👍👍🫰
Alfiya,5,4 bulan lalu,"Outbound seru, dan berbeda dengan outbound yang lainnya, Asik, Kreatif, dan membuat kita menjadi tim yang bisa berkerjasama.

Baik dan bagus semua👍, fasilitas,makan, dan lainnya

Yang kurang cuman Dokumentasi nya, dikirim nya Lama sampai berhari-hari, dan Dokumentasi nya tidak dikirim semua.

Saran Pakai Smartphone atau kamera Sendiri, tapi jasa yang memotret tetap dari tim nya sana."
Risva Dewi,5,4 bulan lalu,"Tempat menginap terbaik paling nyaman di bumiaji batu, tempat favorit keluarga saya
Pemandangan sawahnya
Suara kicau burungnya di pagi hari
Gemericiknya air sungai menambah syahdu
Pokoknya recommend banget homestay ini dah"
